               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085458,            0.060796,              0.1147,           0.0002221,           0.0034354,            0.000117,          1.4274e-05,            0.087874,            0.091707,             0.10648,              0.0955,              0.0005,              0.0005
                   1,            0.073608,            0.050444,            0.093416,           0.0015497,              0.0158,            0.001221,          0.00027769,            0.091284,            0.089696,             0.11446,            0.090096,           0.0010964,           0.0010964
                   2,            0.061992,            0.048593,            0.088819,            0.045114,            0.025903,          0.00089718,          0.00024179,            0.094954,             0.29089,             0.13163,            0.084689,           0.0016888,           0.0016888
                   3,            0.061281,             0.04746,            0.086626,             0.13335,           0.0038793,          0.00046578,          0.00012242,            0.092476,             0.30776,             0.11229,            0.079277,           0.0022772,           0.0022772
                   4,            0.063608,            0.047513,             0.08379,             0.26139,           0.0023001,          0.00021868,           4.133e-05,            0.090099,             0.55309,             0.11532,            0.073862,           0.0028617,           0.0028617
                   5,            0.062345,            0.045848,            0.081382,           0.0013159,            0.020887,          0.00077847,          0.00020538,            0.089045,              0.6398,             0.12304,            0.068442,           0.0034422,           0.0034422
                   6,            0.059601,            0.045864,            0.078953,             0.13386,            0.032966,            0.001556,          0.00033863,            0.088868,              0.2298,             0.15639,            0.063019,           0.0040188,           0.0040188
                   7,            0.056156,            0.045309,            0.075935,            0.090093,            0.029297,           0.0019232,          0.00042947,            0.093105,            0.097125,             0.47981,            0.057591,           0.0045914,           0.0045914
                   8,            0.054097,            0.045743,            0.073553,            0.049996,            0.031429,           0.0026134,          0.00055207,            0.089524,             0.12835,             0.28501,             0.05216,           0.0051601,           0.0051601
                   9,            0.051483,            0.044516,            0.072955,             0.35804,            0.086039,           0.0092827,           0.0021915,            0.080568,             0.26504,             0.18223,            0.046725,           0.0057248,           0.0057248
                  10,            0.055251,            0.043605,            0.068648,             0.19724,            0.065963,            0.014016,           0.0033762,            0.086601,             0.13653,             0.50413,            0.041285,           0.0062855,           0.0062855
                  11,            0.051572,            0.043507,            0.067242,             0.57105,            0.027488,           0.0037843,          0.00077843,            0.086683,             0.18013,              0.3227,            0.035842,           0.0068423,           0.0068423
                  12,            0.047564,            0.043615,            0.063466,            0.051612,            0.039941,           0.0052951,           0.0010414,            0.088518,             0.31142,             0.41038,            0.030395,           0.0073951,           0.0073951
                  13,            0.047051,               0.044,            0.060908,             0.46783,            0.085653,            0.015827,           0.0042135,            0.075217,             0.19749,             0.12704,            0.024944,           0.0079439,           0.0079439
                  14,            0.046332,            0.042461,            0.057656,             0.24151,             0.13925,            0.023066,           0.0064386,             0.07077,              0.1839,             0.10818,            0.019489,           0.0084888,           0.0084888
                  15,            0.047775,             0.04284,            0.056301,             0.51334,            0.068667,            0.035302,            0.010549,            0.068556,             0.19766,            0.099148,             0.01403,           0.0090297,           0.0090297
                  16,            0.053988,             0.04331,            0.055087,             0.61619,             0.10549,             0.03643,            0.008718,            0.073257,              0.1812,             0.10054,            0.009472,            0.009472,            0.009472
                  17,            0.057418,            0.043155,            0.056862,             0.24278,            0.071056,            0.023123,           0.0066953,            0.081749,             0.17481,              0.3227,            0.009472,            0.009472,            0.009472
                  18,            0.052087,            0.043785,            0.053217,             0.19558,            0.089243,            0.021157,           0.0060396,            0.079637,             0.15513,             0.25684,            0.009439,            0.009439,            0.009439
